description,expected_category
Abasteci o T-Cross,Carro
Enchi o tanque do carro,Carro
Paguei a gasolina,Carro
Comprei um lanche no McDonalds,Alimentação
Jantei em uma pizzaria,Alimentação
Comprei comida japonesa,Alimentação
Assinei Disney Plus,Streaming
Assinei Amazon Prime,Streaming
Paguei a conta de água,Contas fixas
Paguei a conta de luz,Contas fixas
Comprei um remédio para dor de cabeça,Saúde
Marquei uma consulta com o médico,Saúde
Paguei o seguro do veículo,Carro
Fiz uma doação para uma instituição,Doação
